widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2,doc-freq,d-cp-1,d-cp-2,d-cp-3,d-inform-2,d-inform-3,corpus-freq,c-cp-1,c-cp-2,c-cp-3,c-inform-2,c-inform-3
26,.,,,,.,,,,,,,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5
1,I,1.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,1,0.000602046959662854,0.00826446280991736,0.0,6.9188632372746,0.0,213,0.00539472684446471,0.0355102040816327,0.0,5.1427819670081,1.29982848393134
2,",",,,,",",,,,,,,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7
3,too,2.0,1.0,1.0,RB,advmod,2.0,2.0,2.0,2.0,-1.0,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,3,0.00180614087898856,0.0173913043478261,1.0,5.6944325082225,0.861654166907052,28,0.000709165970164374,0.00398230088495575,0.2,6.00111269824409,1.71160964054664
4,",",,,,",",,,,,,,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7
5,am,2.0,1.0,1.0,VBP,cop,3.0,3.0,2.0,3.0,-1.75,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,1,0.000602046959662854,0.00869565217391304,0.5,6.84549005094438,1.0,11,0.00027860091685029,0.000442477876106195,0.125,5.02453839188067,3.16263363812932
6,a,1.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,25,0.0150511739915713,1.0,1.0,2.86328816931055,0.37569269691115,789,0.019983283944989,0.0909090909090909,1.0,3.92641885050008,1.22415491206816
7,witness,6.0,2.0,1.0,NN,root,2.0,2.0,2.0,2.0,-1.0,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,1,0.000602046959662854,0.04,1.0,4.64385618977472,0.0,5,0.000126636780386495,0.00253485424588086,1.0,7.75996128210651,1.68357050297718
8,",",,,,",",,,,,,,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7
9,today,4.0,2.0,1.0,NN,appos,2.0,2.0,2.0,2.0,-1.0,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,2,0.00120409391932571,0.00869565217391304,1.0,5.15246083479084,0.0,83,0.00210217055441582,0.00176991150442478,1.0,5.54192701933907,1.38317658918645
10,testifying,9.0,4.0,2.0,VBG,acl,2.0,2.0,2.0,2.0,-1.0,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,1,0.000602046959662854,0.5,1.0,1.0,0.0,1,2.53273560772991e-05,0.0120481927710843,0.25,6.37503943134693,2.0
11,in,2.0,1.0,0.0,IN,case,4.0,4.0,3.0,4.0,-2.75,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,42,0.0252859723058399,1.0,1.0,1.93145914722911,0.424817865319376,808,0.0204645037104577,1.0,1.0,3.34290743706567,0.901193404818875
12,your,3.0,1.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,1,0.000602046959662854,0.0238095238095238,1.0,5.39231742277876,0.0,50,0.00126636780386495,0.00371287128712871,1.0,6.0564673398968,1.72881993786925
13,name,3.0,1.0,1.0,NN,nmod:in,2.0,2.0,2.0,2.0,-1.0,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,2,0.00120409391932571,1.0,1.0,3.41008948120759,0.0,3,7.59820682318973e-05,0.02,0.333333333333333,8.80349431884657,0.528320833573719
14,to,2.0,1.0,1.0,TO,case,3.0,3.0,3.0,3.0,-2.0,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,44,0.0264900662251656,0.5,1.0,1.5791630544421,0.178235235077587,1169,0.0296076792543626,0.333333333333333,1.0,2.80922440399267,0.755386798616441
15,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,113,0.0680313064419025,0.113636363636364,1.0,2.19508976806024,0.290748899896194,2261,0.0572651520907732,0.0992301112061591,1.0,2.74917326769894,0.87789225295395
16,principles,10.0,3.0,1.0,NNS,nmod:to,3.0,3.0,3.0,3.0,-2.0,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,2,0.00120409391932571,0.00884955752212389,0.2,3.91008948120759,1.16096404744368,19,0.000481219765468683,0.000884564352056612,0.00862068965517241,4.44407088521016,1.71203936190141
17,and,3.0,1.0,1.0,CC,cc,4.0,4.0,4.0,4.0,-3.0,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,63,0.0379289584587598,0.5,1.0,1.55707485278873,0.24348968258547,1549,0.0392320745637363,0.0526315789473684,0.5,2.60053892310722,0.707957414545442
18,purposes,7.0,3.0,1.0,NNS,nmod:to,2.0,2.0,2.0,2.0,-1.0,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,2,0.00120409391932571,0.0158730158730159,1.0,2.98863996174996,0.0,8,0.000202618848618393,0.000645577792123951,1.0,6.95184813813406,1.46873367842461
19,to,2.0,1.0,1.0,TO,case,4.0,4.0,4.0,4.0,-3.0,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,44,0.0264900662251656,0.5,1.0,1.5791630544421,0.178235235077587,1169,0.0296076792543626,0.25,1.0,2.80922440399267,0.755386798616441
20,which,3.0,1.0,1.0,WDT,ref,5.0,5.0,2.0,5.0,-3.25,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,7,0.00421432871763998,0.0454545454545455,1.0,3.50414408094732,0.0,112,0.0028366638806575,0.00427715996578272,0.5,4.71502551419259,0.873933991650714
21,we,2.0,1.0,1.0,PRP,nsubjpass,4.0,4.0,2.0,4.0,-2.5,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7,51,0.0307043949428055,0.571428571428571,1.0,2.58712411265196,0.22568186282994,1021,0.0258592305549224,0.196428571428571,0.8,3.31849557808692,1.00709304700192
22,",",,,,",",,,,,,,3,"I , too , am a witness , today testifying in your name to the principles and purposes to which we , as a people , are pledged .",7,7
