widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2,doc-freq,d-cp-1,d-cp-2,d-cp-3,d-inform-2,d-inform-3,corpus-freq,c-cp-1,c-cp-2,c-cp-3,c-inform-2,c-inform-3,bigram,trigram
6,and,3.0,1.0,1.0,CC,cc,4.0,4.0,4.0,4.0,-3.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,67,0.0449664429530201,0.166666666666667,0.2,1.51634250610641,0.109282508878916,1549,0.0392320745637363,0.0636942675159236,0.0232558139534884,2.60053892310722,0.707957414545442,nation and,a nation and
7,our,2.0,2.0,1.0,PRP$,nmod:poss,5.0,5.0,5.0,5.0,-4.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,32,0.0214765100671141,0.0149253731343284,0.5,2.68814774005552,0.25,904,0.0228959298938784,0.026468689477082,0.1,3.58738322881247,1.02606624233911,and our,nation and our
8,future,5.0,2.0,1.0,NN,nmod:as,3.0,3.0,3.0,3.0,-2.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,1,0.000671140939597315,0.03125,1.0,5.0,0.0,42,0.00106374895524656,0.00553097345132743,0.024390243902439,7.13694277982677,3.05684658024401,our future,and our future
9,as,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,5,0.00335570469798658,1.0,1.0,2.28661275302441,0.2,240,0.00607856545855178,0.0238095238095238,0.2,4.70152482952495,1.36514601342509,future as,our future as
10,a,1.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,32,0.0214765100671141,0.8,1.0,2.08109466916246,0.257710643702911,789,0.019983283944989,0.170833333333333,1.0,3.92641885050008,1.22415491206816,as a,future as a
11,people,5.0,2.0,1.0,NNS,nmod:as,2.0,2.0,2.0,2.0,-1.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,9,0.00604026845637584,0.0625,0.5,3.19330895664147,0.777777777777778,176,0.00445761466960464,0.0139416983523447,0.146341463414634,5.00737579276076,2.28619591351594,a people,as a people
12,rest,4.0,1.0,1.0,VBP,root,2.0,2.0,2.0,2.0,-1.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,2,0.00134228187919463,0.111111111111111,0.5,3.66992500144231,0.5,7,0.000177291492541094,0.00568181818181818,0.0909090909090909,8.54335339061592,2.41738260755452,people rest,a people rest
13,not,3.0,1.0,1.0,RB,conj:but,2.0,2.0,2.0,2.0,-1.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,16,0.010738255033557,0.5,1.0,2.48440119563873,0.43536151779138,339,0.00858597371020439,0.142857142857143,1.0,3.8745437833006,1.3625500366306,rest not,people rest not
14,upon,4.0,2.0,1.0,IN,neg,4.0,4.0,4.0,4.0,-3.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,2,0.00134228187919463,0.0625,1.0,3.85021985907055,0.0,52,0.00131702251601955,0.00589970501474926,1.0,3.51363576610817,0.71246110406515,not upon,rest not upon
15,one,3.0,1.0,1.0,CD,case,3.0,3.0,3.0,3.0,-2.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,5,0.00335570469798658,0.5,1.0,2.04720283838002,0.664385618977472,90,0.00227946204695692,0.0192307692307692,0.5,6.49020124811687,1.79885333322505,upon one,not upon one
16,citizen,7.0,3.0,1.0,NN,nummod,2.0,2.0,2.0,2.0,-1.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,3,0.00201342281879195,0.2,1.0,1.96896353186951,0.0,14,0.000354582985082187,0.0222222222222222,1.0,5.29573621689913,1.57167141938496,one citizen,upon one citizen
17,but,3.0,1.0,1.0,CC,nmod:upon,3.0,3.0,3.0,3.0,-2.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,13,0.0087248322147651,0.333333333333333,1.0,3.39495692472679,0.0,232,0.00587594660993339,0.0714285714285714,0.5,4.39343516145018,0.83948082992114,citizen but,one citizen but
18,upon,4.0,2.0,1.0,IN,cc,3.0,3.0,3.0,3.0,-2.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,2,0.00134228187919463,0.0769230769230769,1.0,3.85021985907055,0.0,52,0.00131702251601955,0.00862068965517241,1.0,3.51363576610817,0.71246110406515,but upon,citizen but upon
19,all,2.0,1.0,1.0,DT,case,3.0,3.0,3.0,3.0,-2.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,11,0.00738255033557047,0.5,1.0,3.73624753669805,0.48381164498976,255,0.00645847579971127,0.0192307692307692,0.5,5.17198861245958,1.46355913653528,upon all,but upon all
20,citizens,8.0,3.0,1.0,NNS,det,2.0,2.0,2.0,2.0,-1.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,1,0.000671140939597315,0.0909090909090909,1.0,3.4594316186373,0.0,58,0.00146898665248335,0.00392156862745098,1.0,4.28908505169992,1.69844979736908,all citizens,upon all citizens
21,.,,,,.,,,,,,,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2
1,That,3.0,1.0,1.0,DT,nsubj,4.0,4.0,2.0,4.0,-2.5,5,That is the majesty and the meaning of this moment .,4,4,34,0.0228187919463087,0.0178571428571429,0.0,2.18257452464928,0.310316081923037,640,0.0162095078894714,0.0179591836734694,0.0,3.3599348706285,0.975962233436096,<s> that,
2,is,2.0,1.0,1.0,VBZ,cop,3.0,3.0,2.0,3.0,-1.75,5,That is the majesty and the meaning of this moment .,4,4,32,0.0214765100671141,0.294117647058824,0.5,1.68095202939561,0.244199443404737,500,0.0126636780386495,0.0546875,0.159090909090909,3.30456875255596,1.21984204040818,that is,<s> that is
3,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,5,That is the majesty and the meaning of this moment .,4,4,72,0.0483221476510067,0.21875,0.3,2.25447828278002,0.330390496933931,2261,0.0572651520907732,0.144,0.171428571428571,2.74917326769894,0.87789225295395,is the,that is the
4,majesty,7.0,3.0,1.0,NN,root,2.0,2.0,2.0,2.0,-1.0,5,That is the majesty and the meaning of this moment .,4,4,1,0.000671140939597315,0.0138888888888889,0.142857142857143,6.16992500144231,2.8073549220576,2,5.06547121545982e-05,0.000884564352056612,0.0138888888888889,10.1427452767515,3.58496250072116,the majesty,is the majesty
5,and,3.0,1.0,1.0,CC,cc,3.0,3.0,3.0,3.0,-2.0,5,That is the majesty and the meaning of this moment .,4,4,67,0.0449664429530201,1.0,1.0,1.51634250610641,0.109282508878916,1549,0.0392320745637363,0.5,0.5,2.60053892310722,0.707957414545442,majesty and,the majesty and
6,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,5,That is the majesty and the meaning of this moment .,4,4,72,0.0483221476510067,0.164179104477612,1.0,2.25447828278002,0.330390496933931,2261,0.0572651520907732,0.0806972240154939,1.0,2.74917326769894,0.87789225295395,and the,majesty and the
7,meaning,5.0,2.0,1.0,NN,conj:and,2.0,2.0,2.0,2.0,-1.0,5,That is the majesty and the meaning of this moment .,4,4,2,0.00134228187919463,0.0138888888888889,0.0909090909090909,4.24592654816484,1.72971580931865,14,0.000354582985082187,0.00265369305616984,0.008,7.00878800893723,1.69433369905897,the meaning,and the meaning
8,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,5,That is the majesty and the meaning of this moment .,4,4,57,0.038255033557047,0.5,1.0,0.648362911907467,0.101996161249422,1691,0.0428285591267128,0.428571428571429,0.833333333333333,1.70240777240252,0.42749345896955,meaning of,the meaning of
9,this,3.0,1.0,1.0,DT,det,3.0,3.0,2.0,3.0,-1.75,5,That is the majesty and the meaning of this moment .,4,4,19,0.012751677852349,0.0350877192982456,1.0,2.92269704461696,0.297045062619722,323,0.00818073601296761,0.0277942046126552,0.333333333333333,4.74961945634651,1.34904796006705,of this,meaning of this
10,moment,6.0,2.0,1.0,NN,nmod:of,1.0,1.0,1.0,1.0,0.0,5,That is the majesty and the meaning of this moment .,4,4,3,0.00201342281879195,0.0526315789473684,0.5,4.77846345156464,0.333333333333333,27,0.000683838614087075,0.021671826625387,0.0425531914893617,6.270833226367,2.66643918618006,this moment,of this moment
11,.,,,,.,,,,,,,5,That is the majesty and the meaning of this moment .,4,4
1,For,3.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,6,For every generation there is a destiny .,1,1,18,0.0120805369127517,0.0892857142857143,0.0,2.4581436496934,0.111111111111111,447,0.0113213281665527,0.0297959183673469,0.0,3.64882859033514,0.891151486830728,<s> for,
2,every,4.0,3.0,1.0,DT,det,4.0,4.0,4.0,4.0,-3.0,6,For every generation there is a destiny .,1,1,6,0.00402684563758389,0.0555555555555556,0.1,4.71831984650388,1.54013188869366,87,0.00220347997872502,0.0134228187919463,0.0136986301369863,6.6489649895414,1.76531114237875,for every,<s> for every
3,generation,8.0,4.0,2.0,NN,nmod:for,2.0,2.0,2.0,2.0,-1.0,6,For every generation there is a destiny .,1,1,4,0.00268456375838926,0.166666666666667,1.0,2.85068640562392,0.5,32,0.000810475394473571,0.0344827586206897,0.166666666666667,6.30896633136726,2.61339673788127,every generation,for every generation
4,there,3.0,1.0,1.0,EX,expl,4.0,4.0,4.0,4.0,-3.0,6,For every generation there is a destiny .,1,1,4,0.00268456375838926,0.25,1.0,4.97962264807308,0.25,86,0.00217815262264772,0.03125,0.333333333333333,6.26840645758438,1.64308350700645,generation there,every generation there
5,is,2.0,1.0,1.0,VBZ,root,2.0,2.0,2.0,2.0,-1.0,6,For every generation there is a destiny .,1,1,32,0.0214765100671141,0.75,1.0,1.68095202939561,0.244199443404737,500,0.0126636780386495,0.372093023255814,1.0,3.30456875255596,1.21984204040818,there is,generation there is
